AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2017-18,9,7.5,7.1,,8.4,8.4,738,"4,044",0,"4,782","56,692",> 100%
National,,All,2017-18,10,7.5,7.1,,8,8,507,"4,061",0,"4,568","57,093",> 100%
National,,All,2017-18,11,7.4,7.1,,7.6,7.6,444,"3,853",0,"4,297","56,326",> 100%
National,,All,2017-18,12,7.3,7,,7.4,7.4,345,"3,793",0,"4,138","55,766",> 100%
National,,All,2017-18,13,7.3,6.9,,7.4,7.4,284,"3,779",0,"4,063","54,918",> 100%
National,,All,2017-18,14,7.2,6.8,,7.2,7.2,300,"3,698",0,"3,998","55,294",> 100%
National,,All,2017-18,15,7.1,6.8,,6.9,6.9,214,"3,590",0,"3,804","55,228",> 100%
National,,All,2017-18,16,7,6.7,,6.6,6.6,153,"3,430",0,"3,583","54,038",> 100%
National,,All,2017-18,17,6.9,6.6,,6.5,6.5,119,"3,394",0,"3,513","53,727",> 100%
National,,All,2017-18,18,6.8,6.4,,6.1,6.1,106,"3,198",0,"3,304","53,741",> 100%
National,,All,2017-18,19,6.7,6.3,,5.9,5.9,53,"3,032",0,"3,085","52,105",> 100%
National,,All,2017-18,20,6.6,6.2,,5.9,5.9,43,"2,955",0,"2,998","50,618",> 100%
National,,All,2017-18,21,6.4,6.1,,5.8,5.8,26,"2,951",0,"2,977","50,929",> 100%
National,,All,2017-18,22,6.3,6,,5.7,5.7,26,"2,905",0,"2,931","51,045",> 100%
National,,All,2017-18,23,6.2,5.9,,5.6,5.6,14,"2,908",0,"2,922","52,001",> 100%
National,,All,2017-18,24,6.1,5.8,,5.7,5.7,14,"2,935",0,"2,949","51,387",> 100%
National,,All,2017-18,25,6,5.7,,5.6,5.6,7,"2,865",0,"2,872","51,044",> 100%
National,,All,2017-18,26,5.9,5.6,,5.7,5.7,9,"2,868",0,"2,877","50,855",> 100%
National,,All,2017-18,27,5.8,5.5,,5.4,5.4,10,"2,769",0,"2,779","51,684",> 100%
National,,All,2017-18,28,5.8,5.4,,5.4,5.4,5,"2,781",0,"2,786","51,191",> 100%
National,,All,2017-18,29,5.7,5.3,,5.4,5.4,8,"2,706",0,"2,714","50,609",> 100%
National,,All,2017-18,30,5.6,5.3,,5.4,5.4,12,"2,700",0,"2,712","50,274",> 100%
National,,All,2017-18,31,5.6,5.2,,5.3,5.3,4,"2,661",0,"2,665","50,637",> 100%
National,,All,2017-18,32,5.6,5.2,,5.3,5.3,10,"2,673",0,"2,683","50,967",> 100%
National,,All,2017-18,33,5.5,5.2,,5.2,5.2,5,"2,616",0,"2,621","50,301",> 100%
National,,All,2017-18,34,5.5,5.2,,5.4,5.4,10,"2,713",0,"2,723","50,459",> 100%
National,,All,2017-18,35,5.6,5.2,,5.2,5.2,6,"2,630",0,"2,636","50,611",> 100%
National,,All,2017-18,36,5.6,5.2,,5.5,5.5,6,"2,749",0,"2,755","50,299",> 100%
National,,All,2017-18,37,5.6,5.3,,5.4,5.4,8,"2,761",0,"2,769","51,083",> 100%
National,,All,2017-18,38,5.7,5.3,,5.5,5.5,11,"2,819",0,"2,830","51,583",> 100%
National,,All,2017-18,39,5.7,5.4,,5.5,5.5,14,"2,814",0,"2,828","50,959",> 100%
National,,All,2016-17,40,6.3,6,,5.9,5.9,18,"3,026",0,"3,044","51,411",> 100%
National,,All,2016-17,41,6.4,6.1,,6.1,6.1,11,"3,194",0,"3,205","52,143",> 100%
National,,All,2016-17,42,6.5,6.1,,6.2,6.2,7,"3,178",0,"3,185","51,460",> 100%
National,,All,2016-17,43,6.6,6.3,,6.1,6.1,17,"3,130",0,"3,147","51,876",> 100%
National,,All,2016-17,44,6.7,6.4,,6,6,16,"3,100",0,"3,116","51,767",> 100%
National,,All,2016-17,45,6.8,6.5,,6.1,6.1,19,"3,208",0,"3,227","52,542",> 100%
National,,All,2016-17,46,6.9,6.6,,6,6,7,"3,193",0,"3,200","53,464",> 100%
National,,All,2016-17,47,7.1,6.7,,6.2,6.2,22,"3,258",0,"3,280","53,169",> 100%
National,,All,2016-17,48,7.2,6.8,,6.5,6.5,34,"3,516",0,"3,550","54,607",> 100%
National,,All,2016-17,49,7.3,6.9,,6.6,6.6,33,"3,618",0,"3,651","55,169",> 100%
National,,All,2016-17,50,7.4,7,,6.8,6.8,46,"3,782",0,"3,828","56,020",> 100%
National,,All,2016-17,51,7.5,7.1,,6.8,6.8,92,"3,739",0,"3,831","56,754",> 100%
National,,All,2016-17,52,7.6,7.2,,7.4,7.4,157,"4,108",0,"4,265","57,655",> 100%
National,,All,2016-17,1,7.6,7.3,,8.1,8.1,289,"4,558",0,"4,847","59,763",> 100%
National,,All,2016-17,2,7.7,7.3,,8,8,368,"4,505",0,"4,873","60,980",> 100%
National,,All,2016-17,3,7.8,7.4,,8.4,8.4,373,"4,621",0,"4,994","59,293",> 100%
National,,All,2016-17,4,7.8,7.4,,8.3,8.3,367,"4,427",0,"4,794","58,047",> 100%
National,,All,2016-17,5,7.8,7.5,,8.2,8.2,351,"4,452",0,"4,803","58,432",> 100%
National,,All,2016-17,6,7.9,7.5,,8.2,8.2,419,"4,448",0,"4,867","59,038",> 100%
National,,All,2016-17,7,7.9,7.5,,8.5,8.5,545,"4,419",0,"4,964","58,479",> 100%
National,,All,2016-17,8,7.8,7.5,,8.5,8.5,605,"4,369",0,"4,974","58,288",> 100%
National,,All,2016-17,9,7.8,7.5,,8.4,8.4,534,"4,260",0,"4,794","57,256",> 100%
National,,All,2016-17,10,7.8,7.4,,8.2,8.2,472,"4,223",0,"4,695","57,477",> 100%
National,,All,2016-17,11,7.7,7.4,,7.9,7.9,376,"4,100",0,"4,476","56,656",> 100%
National,,All,2016-17,12,7.7,7.3,,7.7,7.7,319,"4,091",0,"4,410","57,045",> 100%
National,,All,2016-17,13,7.6,7.2,,7.6,7.6,333,"3,887",0,"4,220","55,703",> 100%
National,,All,2016-17,14,7.5,7.1,,7.4,7.4,266,"3,821",0,"4,087","55,159",> 100%
National,,All,2016-17,15,7.4,7,,7.3,7.3,208,"3,776",0,"3,984","54,861",> 100%
National,,All,2016-17,16,7.3,6.9,,6.9,6.9,162,"3,489",0,"3,651","53,070",> 100%
National,,All,2016-17,17,7.2,6.8,,6.7,6.7,90,"3,458",0,"3,548","53,295",> 100%
National,,All,2016-17,18,7.1,6.7,,6.4,6.4,63,"3,308",0,"3,371","52,657",> 100%
National,,All,2016-17,19,7,6.6,,6.3,6.3,50,"3,216",0,"3,266","51,985",> 100%
National,,All,2016-17,20,6.8,6.5,,6.2,6.2,53,"3,201",0,"3,254","52,480",> 100%
National,,All,2016-17,21,6.7,6.4,,6.1,6.1,24,"3,091",0,"3,115","50,972",> 100%
National,,All,2016-17,22,6.6,6.2,,5.9,5.9,23,"3,019",0,"3,042","51,256",> 100%
National,,All,2016-17,23,6.5,6.1,,6.1,6.1,17,"3,127",0,"3,144","51,418",> 100%
National,,All,2016-17,24,6.4,6,,6.1,6.1,19,"3,069",0,"3,088","50,797",> 100%
National,,All,2016-17,25,6.3,5.9,,5.9,5.9,15,"2,982",0,"2,997","51,195",> 100%
National,,All,2016-17,26,6.2,5.8,,5.9,5.9,10,"2,954",0,"2,964","50,617",> 100%
National,,All,2016-17,27,6.1,5.7,,5.6,5.6,18,"2,824",0,"2,842","50,959",> 100%
National,,All,2016-17,28,6,5.7,,6.1,6.1,4,"3,047",0,"3,051","49,973",> 100%
National,,All,2016-17,29,5.9,5.6,,5.5,5.5,10,"2,755",0,"2,765","50,127",> 100%
National,,All,2016-17,30,5.9,5.5,,5.8,5.8,3,"2,853",0,"2,856","49,362",> 100%
National,,All,2016-17,31,5.8,5.5,,5.4,5.4,4,"2,695",0,"2,699","50,087",> 100%
National,,All,2016-17,32,5.8,5.5,,5.4,5.4,6,"2,723",0,"2,729","50,237",> 100%
National,,All,2016-17,33,5.8,5.4,,5.4,5.4,11,"2,689",0,"2,700","50,185",> 100%
National,,All,2016-17,34,5.8,5.4,,5.6,5.6,7,"2,756",0,"2,763","49,517",> 100%
National,,All,2016-17,35,5.8,5.5,,5.4,5.4,7,"2,716",0,"2,723","50,832",> 100%
National,,All,2016-17,36,5.8,5.5,,5.6,5.6,12,"2,825",0,"2,837","50,981",> 100%
National,,All,2016-17,37,5.9,5.5,,5.9,5.9,7,"3,021",0,"3,028","51,694",> 100%
National,,All,2016-17,38,5.9,5.6,,5.8,5.8,16,"2,935",0,"2,951","51,230",> 100%
National,,All,2016-17,39,6,5.6,,5.7,5.7,19,"2,888",0,"2,907","51,343",> 100%
